pdf,page,text_chars,text_blocks,ink_ratio,strong_ink_ratio,is_blank,width_px,height_px
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,56,1015,29,0.4466451002398715,0.2509151060349317,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,57,3019,6,0.41599730052889095,0.07003220292980641,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,58,975,29,0.4447928816120537,0.2495360284031308,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,59,3019,6,0.4160119715675271,0.0700468739684426,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,60,935,29,0.4428379657137827,0.2480469179815585,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,61,3019,6,0.4159936327692319,0.0700395384491245,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,62,979,29,0.44475987177512233,0.24941132457472326,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,63,3019,6,0.4160119715675271,0.07004320620878356,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,64,979,29,0.4444554477234216,0.24933796938154237,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,65,3019,6,0.4160119715675271,0.07005054172810164,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,1,199,8,0.10513999838618575,0.01825077206340823,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,2,1260,6,0.15133176353219926,0.11637067846218173,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,3,1382,6,0.15342972205717303,0.11946626761441577,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,4,1456,6,0.15667935711508696,0.11982204030134314,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,5,1459,6,0.1568847516559935,0.12106174306610036,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,6,1504,6,0.15648496585315758,0.1220006895388159,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,7,1456,6,0.15668669263440504,0.12097371683428328,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,8,1456,6,0.15670869919235933,0.12098105235360138,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,9,1459,6,0.15689208717531158,0.12113876601894032,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,10,1457,6,0.15681506422247163,0.12108741738371367,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,11,1374,6,0.15444569148272852,0.11889409710760473,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,12,1321,6,0.15258613733559268,0.11243517234802639,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,13,1196,6,0.14939518643222346,0.11360518767926175,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,14,1274,6,0.15130608921458594,0.11498059755140365,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,15,1277,6,0.15153715807310578,0.12007511571781725,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,16,1293,6,0.15199196027082737,0.11583151779230211,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Concept_Art_IMAGE_TEXTURE_V01.pdf,17,678,4,0.08109416606148633,0.05964143981573176,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,1,195,7,0.10275962236746551,0.017363174225919323,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,2,1114,6,0.1460942027390829,0.1132750893099477,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,3,1147,6,0.14745860933224766,0.09977406600500283,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,4,1102,6,0.1459878377089706,0.10216177754304116,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,5,1108,6,0.1458337918032907,0.09320510845565312,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,6,1111,6,0.1460281830652201,0.09295570079883805,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,7,1107,6,0.14580078196635932,0.09317576637838076,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,8,1105,6,0.14578977868738216,0.0940817030141649,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,9,1108,6,0.14584112732260882,0.09317943413803981,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,10,1108,6,0.14589247595783544,0.09323445053292548,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,11,1126,6,0.1466223601299854,0.09378828224144128,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,12,1114,6,0.14605018962317437,0.09334448332269683,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_IMAGE_TEXTURE_V01.pdf,13,1106,6,0.14594015683340303,0.0932857991681521,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,1,190,7,0.10232682672769819,0.01709909553046808,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,2,942,29,0.444407766847854,0.2482999933980326,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,3,3088,7,0.4197677574583893,0.07081343573718302,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,4,962,29,0.4454970914665904,0.24911423604234062,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,5,3088,7,0.41976408969873025,0.07082810677581919,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,6,970,29,0.44596656470294815,0.249470008729268,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,7,3088,7,0.41976042193907115,0.07081343573718302,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,8,974,29,0.44642136690066975,0.24977076502130968,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,9,3088,7,0.41978242849702546,0.07083911005479633,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,10,975,29,0.44636635050578405,0.24980010709858205,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,11,3089,7,0.419826441612934,0.07085378109343252,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,12,1007,29,0.4480241778716724,0.251017803305385,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,13,3089,7,0.4198741224885016,0.07088312317070487,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,14,1011,29,0.4482809210478056,0.2511094972968611,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,15,3089,7,0.41987779024816063,0.07087211989172773,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,16,1011,29,0.4482075658546247,0.2511718492110649,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,17,3089,7,0.4198594514498654,0.07086478437240964,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,18,1003,29,0.44756937567395083,0.2506436918201624,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,19,3089,7,0.4198814580078197,0.07089045869002296,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,20,1011,29,0.44813421066144377,0.25114250713379255,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,21,3089,7,0.419826441612934,0.07087578765138677,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,22,1015,29,0.4483249341637141,0.25123053336560963,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,23,3089,7,0.4198667869691835,0.07088679093036392,False,459,594
